Price,District,City,Town,EnergyCertificate,Parking,ConstructionYear,Garage,Elevator,NumberOfBathrooms,AreaAssigned,RoomsAssigned,PricePerSqm,Region
903000.0,Lisboa,Lisboa,Arroios,B-,0.0,2023.0,False,true,2.0,91.0,2.0,9923.076923076924,Lisboa
190000.0,Porto,Vila Nova de Gaia,Gulpilhares e Valadares,D,1.0,1983.0,False,false,2.0,81.0,2.0,2345.679012345679,Norte
189900.0,Porto,Vila Nova de Gaia,Vilar de Andorinho,C,0.0,2000.0,True,true,2.0,109.0,3.0,1742.2018348623853,Norte
192000.0,Lisboa,Sintra,Agualva e Mira-Sintra,E,0.0,1975.0,false,true,1.0,75.0,2.0,2560.0,Lisboa
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",A+,1.0,2023.0,False,true,2.0,151.0,3.0,1887.4172185430464,Norte
180000.0,Aveiro,Aveiro,Eixo e Eirol,D,1.0,1998.0,false,true,2.0,112.0,3.0,1607.142857142857,Centro
335775.0,Porto,Valongo,Ermesinde,NC,1.0,2024.0,False,true,2.0,118.0,4.0,2845.5508474576272,Norte
1040000.0,Lisboa,Lisboa,Avenidas Novas,A+,1.0,2024.0,False,true,5.0,121.0,3.0,8595.04132231405,Lisboa
332000.0,Lisboa,Sintra,Cacém e São Marcos,C,2.0,2004.0,false,true,2.0,95.0,3.0,3494.7368421052633,Lisboa
139500.0,Porto,Marco de Canaveses,Penhalonga e Paços de Gaiolo,D,0.0,2001.0,false,false,2.0,107.0,3.0,1303.7383177570093,Norte
163000.0,Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,A+,1.0,2022.0,false,true,2.0,125.0,2.0,1304.0,Centro
243000.0,Setúbal,Montijo,Montijo e Afonsoeiro,D,0.0,1977.0,false,false,2.0,89.0,3.0,2730.3370786516853,Lisboa
1058000.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,B-,3.0,2010.0,false,true,4.0,223.0,4.0,4744.394618834081,Norte
190000.0,Coimbra,Coimbra,Santo António dos Olivais,D,0.0,1949.0,false,false,2.0,110.0,3.0,1727.2727272727273,Centro
170000.0,Porto,Vila Nova de Gaia,Arcozelo,B-,1.0,2001.0,false,true,2.0,98.0,2.0,1734.6938775510205,Norte
380000.0,Porto,Maia,Pedrouços,B-,1.0,2023.0,false,true,2.0,142.0,3.0,2676.056338028169,Norte
615825.0,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",A,0.0,2024.0,True,true,3.0,134.0,3.0,4595.70895522388,Lisboa
140000.0,Lisboa,Sintra,Queluz e Belas,D,0.0,1978.0,false,false,1.0,28.0,1.0,5000.0,Lisboa
244999.0,Porto,Porto,Paranhos,A+,1.0,2023.0,False,true,1.0,52.0,2.0,4711.5192307692305,Norte
989000.0,Lisboa,Lisboa,Estrela,E,0.0,1937.0,False,false,2.0,133.0,4.0,7436.090225563909,Lisboa
555000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",B-,1.0,2019.0,false,true,6.0,153.0,4.0,3627.450980392157,Norte
285000.0,Lisboa,Odivelas,Póvoa de Santo Adrião e Olival Basto,C,0.0,1972.0,False,true,2.0,75.0,4.0,3800.0,Lisboa
589500.0,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",C,1.0,1972.0,false,true,3.0,116.0,4.0,5081.896551724138,Lisboa
190000.0,Viana do Castelo,Viana do Castelo,Areosa,A,1.0,2023.0,false,true,1.0,65.0,1.0,2923.076923076923,Norte
365000.0,Lisboa,Odivelas,Pontinha e Famões,A,1.0,2020.0,False,true,3.0,107.0,3.0,3411.214953271028,Lisboa
750000.0,Lisboa,Lisboa,Santo António,B-,1.0,2018.0,false,true,2.0,58.0,1.0,12931.034482758621,Lisboa
229500.0,Porto,Gondomar,Rio Tinto,B-,0.0,2004.0,True,true,2.0,104.0,3.0,2206.730769230769,Norte
267500.0,Faro,Portimão,Portimão,E,1.0,2003.0,false,true,2.0,120.0,3.0,2229.1666666666665,Algarve
178800.0,Porto,Vila Nova de Gaia,Gulpilhares e Valadares,C,0.0,1999.0,false,true,2.0,99.0,2.0,1806.060606060606,Norte
227000.0,Lisboa,Sintra,Algueirão-Mem Martins,C,0.0,1999.0,false,true,2.0,117.0,3.0,1940.1709401709402,Lisboa
821000.0,Faro,Faro,Faro (Sé e São Pedro),A+,0.0,2023.0,True,true,4.0,149.0,4.0,5510.067114093959,Algarve
99000.0,Aveiro,Mealhada,Pampilhosa,E,0.0,1994.0,false,true,2.0,117.0,3.0,846.1538461538462,Centro
268000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,NC,1.0,2023.0,False,true,1.0,72.0,3.0,3722.222222222222,Centro
680000.0,Setúbal,Sesimbra,Santiago (Sesimbra),NC,1.0,2024.0,False,false,2.0,124.0,3.0,5483.870967741936,Lisboa
5000.0,Faro,Loulé,Quarteira,NC,0.0,1991.0,False,true,1.0,62.0,1.0,80.64516129032258,Algarve
610000.0,Faro,Lagos,São Gonçalo de Lagos,A,1.0,2021.0,False,true,2.0,172.0,3.0,3546.5116279069766,Algarve
400000.0,Setúbal,Seixal,"Seixal, Arrentela e Aldeia de Paio Pires",B,1.0,2020.0,False,true,3.0,118.0,4.0,3389.830508474576,Lisboa
268000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",C,0.0,1997.0,False,true,1.0,48.0,2.0,5583.333333333333,Norte
257000.0,Braga,Barcelos,Arcozelo,C,0.0,1988.0,False,false,2.0,134.0,3.0,1917.910447761194,Norte
4000.0,Faro,Albufeira,Albufeira e Olhos de Água,NC,0.0,1990.0,false,true,2.0,28.0,0.0,142.85714285714286,Algarve
215000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),B-,0.0,2008.0,false,true,1.0,72.0,1.0,2986.1111111111113,Algarve
275000.0,Lisboa,Sintra,Rio de Mouro,D,0.0,1996.0,false,true,1.0,76.0,2.0,3618.4210526315787,Lisboa
749000.0,Porto,Porto,Campanhã,A+,1.0,2024.0,False,true,4.0,230.0,4.0,3256.521739130435,Norte
250000.0,Porto,Gondomar,Rio Tinto,D,1.0,2001.0,false,true,3.0,128.0,3.0,1953.125,Norte
410000.0,Lisboa,Lisboa,Belém,E,0.0,1994.0,False,true,1.0,61.0,3.0,6721.311475409836,Lisboa
95000.0,Santarém,Abrantes,Abrantes (São Vicente e São João) e Alferrarede,E,2.0,1988.0,false,false,1.0,95.0,2.0,1000.0,Centro
305000.0,Lisboa,Cascais,Alcabideche,C,0.0,2000.0,false,true,1.0,67.0,1.0,4552.238805970149,Lisboa
319000.0,Lisboa,Sintra,Massamá e Monte Abraão,E,1.0,2000.0,false,true,2.0,112.0,3.0,2848.214285714286,Lisboa
249900.0,Setúbal,Setúbal,São Sebastião,D,0.0,1977.0,false,true,2.0,95.0,3.0,2630.5263157894738,Lisboa
